Bildnummer;Zeit [s];X Position [cm];Y Position [cm];
346;13,8;-3,32;6,61;
347;13,84;-2,8;6,92;
348;13,88;-1,54;7,38;
349;13,92;-0,83;7,51;
350;13,96;-0,12;7,63;
351;14;0,62;7,66;
352;14,04;1,35;7,57;
353;14,08;2,06;7,41;
354;14,12;2,74;7,2;
355;14,16;3,97;6,61;
356;14,2;4,43;6,34;
357;14,24;4,86;6,03;
358;14,28;5,48;5,48;
359;14,32;5,63;5,23;
360;14,36;5,81;5,11;
361;14,4;5,88;4,98;
362;14,44;5,94;4,95;
363;14,48;5,81;5,08;
364;14,52;5,63;5,23;
365;14,56;5,48;5,48;
366;14,6;5,2;5,72;
367;14,64;4,86;6;
368;14,68;4,46;6,31;
369;14,72;3,51;6,89;
370;14,76;2,92;7,14;
371;14,8;2,25;7,35;
372;14,84;1,6;7,51;
373;14,88;0,18;7,63;
374;14,92;-0,52;7,6;
375;14,96;-1,23;7,45;
376;15;-1,88;7,26;
377;15,04;-2,52;7,05;
378;15,08;-3,6;6,46;
379;15,12;-4,03;6,15;
380;15,16;-4,37;5,91;
381;15,2;-4,68;5,6;
382;15,24;-4,92;5,38;
383;15,28;-5,17;5,05;
384;15,32;-5,29;4,95;
385;15,36;-5,29;4,95;
386;15,4;-5,23;4,98;
387;15,44;-5,17;5,08;
388;15,48;-5,05;5,23;
389;15,52;-4,61;5,69;
390;15,56;-4,31;5,94;
391;15,6;-3,97;6,21;
392;15,64;-3,54;6,52;
393;15,68;-3,08;6,8;
394;15,72;-1,94;7,26;
395;15,76;-1,29;7,45;
396;15,8;-0,62;7,57;
397;15,84;0,06;7,63;
398;15,88;0,74;7,63;
399;15,92;2,12;7,38;
400;15,96;2,74;7,2;
401;16;3,35;6,95;
402;16,04;3,85;6,68;
403;16,08;4,71;6,12;
404;16,12;5,05;5,85;
405;16,16;5,29;5,63;
406;16,2;5,45;5,45;
407;16,24;5,63;5,29;
408;16,28;5,69;5,23;
409;16,32;5,63;5,26;
410;16,36;5,57;5,38;
411;16,4;5,41;5,54;
412;16,44;5,2;5,75;
413;16,48;4,61;6,21;
414;16,52;4,18;6,49;
415;16,56;3,72;6,77;
416;16,6;3,23;7,01;
417;16,64;2,65;7,23;
418;16,68;2,03;7,38;
419;16,72;0,74;7,63;
420;16,76;0,06;7,63;
421;16,8;-0,62;7,57;
422;16,84;-1,29;7,45;
423;16,88;-1,91;7,26;
424;16,92;-3,02;6,83;
425;16,96;-3,48;6,52;
426;17;-3,91;6,28;
427;17,04;-4,25;6;
428;17,08;-4,52;5,78;
429;17,12;-4,89;5,41;
430;17,16;-4,98;5,32;
431;17,2;-5,05;5,23;
432;17,24;-5,08;5,23;
433;17,28;-5,01;5,26;
434;17,32;-4,92;5,38;
435;17,36;-4,61;5,69;
436;17,4;-4,37;5,91;
437;17,44;-4,06;6,18;
438;17,48;-3,69;6,43;
439;17,52;-2,8;6,92;
440;17,56;-2,28;7,14;
441;17,6;-1,69;7,35;
442;17,64;-1,08;7,51;
443;17,68;-0,43;7,6;
444;17,72;0,22;7,63;
445;17,76;1,51;7,54;
446;17,8;2,12;7,38;
447;17,84;2,74;7,2;
448;17,88;3,29;6,98;
449;17,92;3,78;6,77;
450;17,96;4,58;6,21;
451;18;4,86;5,97;
452;18,04;5,11;5,78;
453;18,08;5,29;5,66;
454;18,12;5,38;5,54;
455;18,16;5,45;5,48;
456;18,2;5,41;5,51;
457;18,24;5,32;5,66;
458;18,28;5,14;5,78;
459;18,32;4,92;5,97;
460;18,36;4,65;6,18;
461;18,4;4,34;6,4;
462;18,44;3,51;6,89;
463;18,48;2,98;7,11;
464;18,52;2,43;7,32;
465;18,56;1,82;7,45;
466;18,6;0,55;7,63;
467;18,64;-0,06;7,63;
468;18,68;-0,68;7,57;
469;18,72;-1,32;7,45;
470;18,76;-1,88;7,26;
471;18,8;-2,92;6,83;
472;18,84;-3,41;6,61;
473;18,88;-3,75;6,37;
474;18,92;-4,06;6,15;
475;18,96;-4,55;5,75;
476;19;-4,68;5,6;
477;19,04;-4,8;5,54;
478;19,08;-4,83;5,48;
479;19,12;-4,8;5,48;
480;19,16;-4,8;5,54;
481;19,2;-4,52;5,78;
482;19,24;-4,34;5,94;
483;19,28;-4,06;6,15;
484;19,32;-3,75;6,34;
485;19,36;-3,41;6,58;
486;19,4;-2,52;7,08;
487;19,44;-2;7,26;
488;19,48;-1,45;7,41;
489;19,52;-0,86;7,51;
490;19,56;-0,28;7,6;
491;19,6;0,98;7,6;
492;19,64;1,6;7,51;
493;19,68;2,18;7,38;
494;19,72;2,74;7,2;
495;19,76;3,23;7,01;
496;19,8;3,69;6,77;
497;19,84;4,43;6,34;
498;19,88;4,68;6,15;
499;19,92;4,92;5,97;
500;19,96;5,08;5,85;
501;20;5,2;5,75;
502;20,04;5,23;5,72;
503;20,08;5,23;5,72;
504;20,12;5,05;5,85;
505;20,16;4,86;6;
506;20,2;4,65;6,15;
507;20,24;4,37;6,37;
508;20,28;4,03;6,58;
509;20,32;3,2;7,01;
510;20,36;2,74;7,2;
511;20,4;2,18;7,38;
512;20,44;1,63;7,51;
513;20,48;0,43;7,63;
514;20,52;-0,15;7,63;
515;20,56;-0,74;7,57;
516;20,6;-1,35;7,48;
517;20,64;-1,88;7,29;
518;20,68;-2,37;7,11;
519;20,72;-3,26;6,68;
520;20,76;-3,6;6,46;
521;20,8;-3,91;6,28;
522;20,84;-4,34;5,94;
523;20,88;-4,49;5,81;
524;20,92;-4,55;5,72;
525;20,96;-4,58;5,72;
526;21;-4,58;5,72;
527;21,04;-4,52;5,78;
528;21,08;-4,28;5,97;
529;21,12;-4,06;6,15;
530;21,16;-3,81;6,34;
531;21,2;-3,51;6,55;
532;21,24;-3,14;6,77;
533;21,28;-2,71;6,95;
534;21,32;-1,75;7,32;
535;21,36;-1,23;7,45;
536;21,4;-0,68;7,57;
537;21,44;-0,12;7,63;
538;21,48;0,49;7,63;
539;21,52;1,05;7,57;
540;21,56;1,63;7,51;
541;21,6;2,68;7,2;
542;21,64;3,6;6,83;
543;21,68;3,97;6,65;
544;21,72;4,28;6,46;
545;21,76;4,55;6,28;
546;21,8;4,74;6,15;
547;21,84;4,86;6;
548;21,88;4,95;5,97;
549;21,92;4,98;5,94;
550;21,96;4,92;6;
551;22;4,8;6,09;
552;22,04;4,37;6,37;
553;22,08;4,09;6,55;
554;22,12;3,75;6,74;
555;22,16;3,41;6,92;
556;22,2;2,98;7,11;
557;22,24;1,97;7,45;
558;22,28;1,45;7,57;
559;22,32;0,89;7,6;
560;22,36;0,31;7,63;
561;22,4;-0,8;7,54;
562;22,44;-1,35;7,45;
563;22,48;-1,85;7,29;
564;22,52;-2,34;7,14;
565;22,56;-2,77;6,95;
566;22,6;-3,17;6,77;
567;22,64;-3,75;6,4;
568;22,68;-3,97;6,21;
569;22,72;-4,12;6,12;
570;22,76;-4,25;6,03;
571;22,8;-4,31;5,97;
572;22,84;-4,34;5,94;
573;22,88;-4,25;5,97;
574;22,92;-4,12;6,09;
575;22,96;-4;6,21;
576;23;-3,78;6,34;
577;23,04;-3,51;6,52;
578;23,08;-3,2;6,71;
579;23,12;-2,49;7,08;
580;23,16;-2,03;7,23;
581;23,2;-1,54;7,38;
582;23,24;-1,05;7,51;
583;23,28;-0,49;7,6;
584;23,32;0,06;7,63;
585;23,36;1,14;7,57;
586;23,4;1,66;7,51;
587;23,44;2,18;7,38;
588;23,48;2,65;7,23;
589;23,52;3,48;6,89;
590;23,56;3,81;6,71;
